"Date","Price","Open","High","Low","Vol.","Change %"
"09/28/2021","11.80","11.60","11.80","11.60","10.44K","0.00%"
"09/27/2021","11.80","12.00","12.00","11.40","52.26K","-2.48%"
"09/24/2021","12.10","11.70","12.10","11.60","139.61K","3.42%"
"09/23/2021","11.70","11.70","11.80","11.60","9.67K","-0.85%"
"09/22/2021","11.80","11.80","11.80","11.60","13.57K","-1.67%"
"09/21/2021","12.00","12.20","12.20","11.60","4.81K","-2.44%"
"09/17/2021","12.30","11.80","12.30","11.60","48.08K","4.24%"
"09/16/2021","11.80","12.30","12.30","11.70","26.80K","-1.67%"
"09/15/2021","12.00","12.40","12.40","11.70","30.72K","-3.23%"
"09/14/2021","12.40","12.40","12.50","11.60","41.88K","0.81%"
"09/13/2021","12.30","12.30","12.50","11.80","93.59K","-1.60%"
"09/10/2021","12.50","12.00","12.50","11.80","33.10K","4.17%"
"09/09/2021","12.00","12.00","12.60","12.00","39.85K","-2.44%"
"09/08/2021","12.30","12.50","12.50","11.90","101.83K","-1.60%"
"09/07/2021","12.50","12.60","12.70","12.10","39.29K","-3.10%"
"09/06/2021","12.90","12.60","12.90","12.10","82.06K","-2.27%"
"09/03/2021","13.20","13.00","14.00","13.00","2.88M","1.54%"
"09/02/2021","13.00","12.50","13.00","11.60","1.70M","4.00%"
"09/01/2021","12.50","11.90","13.20","11.50","3.74M","5.93%"
"08/31/2021","11.80","11.20","11.80","11.10","77.75K","5.36%"
"08/30/2021","11.20","12.00","12.00","11.00","197.40K","-6.67%"
"08/27/2021","12.00","12.20","12.80","11.90","141.84K","-5.51%"
"08/26/2021","12.70","12.60","12.80","11.90","115.16K","0.79%"
"08/25/2021","12.60","11.40","13.20","11.40","1.90M","8.62%"
"08/24/2021","11.60","11.20","11.70","11.20","103.15K","0.00%"
"08/23/2021","11.60","11.50","11.80","11.40","192.78K","1.75%"
"08/20/2021","11.40","11.20","11.50","11.20","318.92K","2.70%"
"08/19/2021","11.10","11.50","11.60","11.10","58.26K","-2.63%"
"08/18/2021","11.40","11.00","11.50","11.00","1.32M","4.59%"
"08/17/2021","10.90","10.90","11.00","10.90","0.45K","0.00%"
"08/16/2021","10.90","10.90","10.90","10.90","0.15K","0.00%"
"08/13/2021","10.90","11.00","11.00","10.70","2.55K","0.00%"
"08/12/2021","10.90","11.00","11.00","10.90","266.02K","-0.91%"
"08/11/2021","11.00","11.20","11.20","10.80","502.15K","0.00%"
"08/10/2021","11.00","11.00","11.00","10.80","134.17K","1.85%"
"08/09/2021","10.80","10.90","10.90","10.80","15.93K","-1.82%"
"08/06/2021","11.00","11.00","11.00","10.80","81.27K","-1.79%"
"08/05/2021","11.20","11.20","11.20","11.00","122.46K","0.90%"
"08/04/2021","11.10","11.30","11.30","11.10","42.85K","0.00%"
"08/03/2021","11.10","11.30","11.30","11.10","79.01K","-2.63%"
"08/02/2021","11.40","10.90","11.40","10.90","7.62K","0.88%"
"07/30/2021","11.30","11.00","11.30","11.00","177.14K","2.73%"
"07/29/2021","11.00","11.10","11.20","10.80","29.43K","1.85%"
"07/28/2021","10.80","11.10","11.10","10.60","30.88K","-2.70%"
"07/27/2021","11.10","11.20","11.20","10.40","167.63K","1.83%"
"07/26/2021","10.90","11.00","11.00","10.70","526.60K","-0.91%"
"07/22/2021","11.00","11.20","11.50","10.90","231.97K","-1.79%"
"07/20/2021","11.20","11.50","11.60","11.20","13.03K","-2.61%"
"07/19/2021","11.50","11.50","11.50","11.50","50.20K","2.68%"
"07/16/2021","11.20","11.60","11.60","11.10","107.20K","-4.27%"
"07/15/2021","11.70","11.60","11.70","11.10","88.52K","0.86%"
"07/14/2021","11.60","11.60","11.60","11.50","2.57K","0.00%"
"07/13/2021","11.60","11.60","11.60","11.40","63.58K","1.75%"
"07/12/2021","11.40","11.20","11.60","11.20","32.72K","0.00%"
