"Date","Price","Open","High","Low","Vol.","Change %"
"03/21/2018","41.70","41.80","41.90","41.70","1.81K","-0.71%"
"03/20/2018","42.00","41.70","42.00","41.60","3.61K","0.72%"
"03/19/2018","41.70","42.00","42.00","41.70","5.06K","-0.71%"
"03/16/2018","42.00","42.10","42.10","42.00","21.86K","-1.18%"
"03/15/2018","42.50","42.70","42.70","42.30","12.16K","-0.23%"
"03/14/2018","42.60","42.50","42.60","42.00","27.59K","0.24%"
"03/13/2018","42.50","42.20","42.90","42.00","9.15K","0.95%"
"03/12/2018","42.10","42.10","42.10","42.10","0.50K","0.24%"
"03/09/2018","42.00","42.50","43.00","42.00","1.00K","0.00%"
"03/08/2018","42.00","42.50","42.50","41.90","11.51K","-0.71%"
"03/07/2018","42.30","42.20","42.30","42.20","0.20K","-0.47%"
"03/06/2018","42.50","43.00","43.10","42.50","4.73K","0.95%"
"03/05/2018","42.10","43.00","43.30","42.10","12.01K","0.72%"
"03/02/2018","41.80","41.90","42.00","41.80","0.12K","0.48%"
"02/28/2018","41.60","43.10","43.10","41.60","1.01K","-0.95%"
"02/26/2018","42.00","42.20","43.20","42.00","5.89K","-1.87%"
"02/23/2018","42.80","42.80","42.80","42.80","3.00K","1.42%"
"02/22/2018","42.20","42.50","42.60","42.20","7.14K","-2.54%"
"02/21/2018","43.30","43.30","43.30","42.50","5.43K","2.36%"
"02/20/2018","42.30","42.30","42.30","42.30","0.20K","-2.76%"
"02/19/2018","43.50","43.50","43.50","43.50","2.01K","-0.91%"
"02/16/2018","43.90","42.50","44.00","42.50","10.01K","4.52%"
"02/15/2018","42.00","42.30","42.40","42.00","8.54K","-0.47%"
"02/14/2018","42.20","42.60","42.60","42.10","32.88K","-1.17%"
"02/12/2018","42.70","42.80","42.80","42.70","0.10K","-0.47%"
"02/09/2018","42.90","43.00","43.00","42.70","1.42K","-0.23%"
"02/08/2018","43.00","43.10","43.10","42.60","15.95K","-0.23%"
"02/07/2018","43.10","42.60","43.10","42.50","1.14K","-0.23%"
"02/06/2018","43.20","42.70","43.20","42.50","6.27K","-0.69%"
"02/02/2018","43.50","43.50","43.50","43.50","1.00K","0.69%"
"02/01/2018","43.20","43.50","43.50","43.20","1.81K","-0.46%"
"01/30/2018","43.40","43.40","43.40","43.40","0.01K","0.93%"
"01/29/2018","43.00","43.00","43.10","42.50","13.01K","1.18%"
"01/25/2018","42.50","42.50","42.50","42.50","0.19K","0.00%"
"01/24/2018","42.50","42.60","42.60","42.50","2.03K","-2.07%"
"01/23/2018","43.40","43.40","43.40","43.30","0.58K","0.93%"
"01/19/2018","43.00","43.50","43.50","43.00","23.21K","-1.15%"
"01/18/2018","43.50","43.50","43.50","43.50","12.74K","0.00%"
"01/17/2018","43.50","43.60","44.00","43.50","19.63K","0.00%"
"01/16/2018","43.50","43.80","43.80","43.50","6.10K","-1.14%"
"01/12/2018","44.00","44.00","44.00","43.60","211.99K","0.00%"
"01/11/2018","44.00","44.50","44.50","43.50","0.57K","-0.90%"
"01/10/2018","44.40","44.00","44.40","44.00","0.71K","-0.45%"
"01/09/2018","44.60","44.40","44.60","43.00","220.48K","0.68%"
"01/08/2018","44.30","44.00","44.30","44.00","1.48K","-0.45%"
"01/05/2018","44.50","43.10","44.50","43.00","12.38K","-0.45%"
"01/04/2018","44.70","44.70","44.70","44.70","0.00K","1.59%"
"01/03/2018","44.00","43.90","44.00","42.50","5.75K","0.23%"
"01/02/2018","43.90","42.10","43.90","42.10","0.53K","4.03%"
"12/29/2017","42.20","42.30","43.90","42.20","0.37K","-1.86%"
"12/28/2017","43.00","42.40","44.00","42.40","0.60K","1.42%"
"12/27/2017","42.40","42.40","43.00","42.20","0.62K","0.00%"
"12/26/2017","42.40","42.90","42.90","42.40","8.51K","-2.08%"
"12/22/2017","43.30","42.50","43.30","42.50","1.00K","1.17%"
"12/20/2017","42.80","43.00","43.00","42.80","5.00K","0.71%"
"12/19/2017","42.50","43.40","43.40","42.50","11.13K","-4.49%"
"12/18/2017","44.50","43.30","44.50","43.30","0.03K","3.49%"
"12/15/2017","43.00","42.50","43.00","42.50","2.55K","0.70%"
"12/14/2017","42.70","43.00","43.00","42.50","4.05K","-0.70%"
"12/13/2017","43.00","43.00","43.00","43.00","0.01K","2.14%"
"12/12/2017","42.10","42.30","42.30","42.10","1.00K","-0.24%"
"12/11/2017","42.20","42.20","42.20","42.20","0.13K","-3.65%"
"12/08/2017","43.80","43.80","43.80","43.80","0.60K","4.29%"
"12/07/2017","42.00","43.70","43.70","42.00","18.30K","-1.18%"
"12/06/2017","42.50","42.70","42.70","42.50","0.63K","-0.23%"
"12/05/2017","42.60","43.00","43.80","42.60","1.55K","-2.07%"
"12/04/2017","43.50","43.50","43.50","43.50","0.03K","-0.46%"
"11/29/2017","43.70","42.50","43.70","42.50","14.21K","3.55%"
"11/28/2017","42.20","42.50","43.00","42.20","1.72K","-1.86%"
"11/27/2017","43.00","43.10","43.10","43.00","0.54K","-3.80%"
"11/24/2017","44.70","44.80","44.80","43.40","0.04K","2.76%"
"11/23/2017","43.50","44.90","44.90","43.50","2.00K","-1.58%"
"11/22/2017","44.20","44.20","44.20","44.20","0.50K","-1.56%"
"11/21/2017","44.90","44.50","44.90","44.50","0.37K","2.05%"
"11/20/2017","44.00","45.40","45.40","44.00","9.71K","-2.87%"
"11/17/2017","45.30","45.60","45.60","43.50","12.28K","-0.44%"
"11/16/2017","45.50","44.50","46.30","44.00","117.78K","5.81%"
"11/15/2017","43.00","44.00","44.00","43.00","9.60K","-2.49%"
"11/14/2017","44.10","44.50","44.50","44.10","1.03K","-2.00%"
"11/13/2017","45.00","45.20","45.60","45.00","31.99K","-2.17%"
"11/10/2017","46.00","44.00","46.00","44.00","54.64K","4.31%"
"11/09/2017","44.10","44.50","44.60","44.10","19.61K","-2.00%"
"11/08/2017","45.00","44.90","45.00","43.80","14.06K","2.27%"
"11/07/2017","44.00","44.20","44.20","44.00","5.21K","-0.23%"
"11/06/2017","44.10","45.30","45.30","44.10","4.81K","-0.68%"
"11/02/2017","44.40","44.30","45.00","44.10","9.57K","0.23%"
"11/01/2017","44.30","44.80","44.80","44.30","0.45K","-0.45%"
"10/31/2017","44.50","44.90","45.30","44.50","5.50K","1.14%"
"10/30/2017","44.00","45.00","45.00","44.00","4.96K","-2.22%"
"10/27/2017","45.00","45.90","45.90","43.30","5.71K","-2.17%"
"10/26/2017","46.00","46.50","46.90","46.00","20.47K","-0.22%"
"10/25/2017","46.10","44.00","47.00","44.00","487.26K","5.25%"
"10/24/2017","43.80","43.80","43.80","43.30","45.81K","0.00%"
"10/23/2017","43.80","43.40","43.90","42.40","57.63K","0.92%"
"10/20/2017","43.40","42.50","43.40","42.00","26.32K","3.33%"
"10/19/2017","42.00","41.90","42.90","41.80","21.51K","0.00%"
"10/17/2017","42.00","42.00","42.00","42.00","1.13K","0.00%"
"10/16/2017","42.00","42.10","42.10","42.00","7.98K","0.00%"
"10/13/2017","42.00","42.10","42.50","42.00","166.46K","-2.10%"
"10/12/2017","42.90","42.10","42.90","42.00","28.60K","1.90%"
"10/11/2017","42.10","42.50","42.50","42.10","3.95K","-0.94%"
"10/10/2017","42.50","42.70","43.00","42.20","14.66K","-0.47%"
"10/09/2017","42.70","43.50","43.50","42.70","11.02K","-1.61%"
"10/06/2017","43.40","43.50","43.50","43.00","21.95K","0.93%"
"10/04/2017","43.00","43.50","43.50","43.00","114.28K","0.23%"
"10/03/2017","42.90","44.50","44.50","42.00","828.23K","-3.38%"
"10/02/2017","44.40","45.50","45.50","44.40","2.84K","-1.33%"
"09/29/2017","45.00","45.70","45.70","45.00","13.86K","-1.53%"
"09/28/2017","45.70","45.10","45.70","45.00","6.11K","1.33%"
"09/27/2017","45.10","45.40","45.40","45.00","13.66K","-1.53%"
"09/26/2017","45.80","45.30","45.80","45.30","0.47K","0.66%"
"09/25/2017","45.50","46.00","46.00","45.40","70.76K","-1.09%"
