"Date","Price","Open","High","Low","Vol.","Change %"
"12/27/2021","14.20","14.40","14.60","14.10","25.36M","-0.70%"
"12/24/2021","14.30","14.60","14.60","14.20","9.74M","0.00%"
"12/23/2021","14.30","14.00","14.90","14.00","45.18M","2.14%"
"12/22/2021","14.00","14.10","14.20","13.90","14.35M","0.00%"
"12/21/2021","14.00","14.00","14.10","13.70","21.79M","0.72%"
"12/20/2021","13.90","13.90","14.10","13.80","16.41M","0.00%"
"12/17/2021","13.90","14.00","14.30","13.80","38.56M","-0.71%"
"12/16/2021","14.00","14.20","14.30","13.90","20.08M","-1.41%"
"12/15/2021","14.20","14.10","14.20","13.90","40.87M","0.00%"
"12/14/2021","14.20","14.50","14.50","14.00","44.79M","-1.39%"
"12/13/2021","14.40","14.40","14.70","14.20","39.11M","0.70%"
"12/10/2021","14.30","14.20","14.60","14.20","30.45M","0.70%"
"12/09/2021","14.20","14.10","14.30","14.00","36.53M","0.00%"
"12/08/2021","14.20","14.40","14.50","14.10","41.25M","-1.39%"
"12/07/2021","14.40","14.70","14.90","14.30","44.35M","-2.04%"
"12/06/2021","14.70","14.60","15.00","14.50","40.77M","0.68%"
"12/03/2021","14.60","15.00","15.40","14.20","162.85M","-0.68%"
"12/02/2021","14.70","13.90","14.70","13.70","85.33M","4.26%"
"12/01/2021","14.10","14.30","14.70","13.70","152.96M","0.00%"
"11/30/2021","14.10","13.40","14.20","13.40","119.59M","5.22%"
"11/29/2021","13.40","13.60","13.70","13.00","90.77M","-0.74%"
"11/26/2021","13.50","13.40","13.70","13.00","132.28M","2.27%"
"11/25/2021","13.20","12.10","13.20","12.00","186.60M","10.92%"
"11/24/2021","11.90","11.90","12.10","11.70","106.58M","1.71%"
"11/23/2021","11.70","11.20","11.70","11.00","52.88M","5.41%"
"11/22/2021","11.10","11.00","11.40","10.90","22.11M","0.91%"
"11/19/2021","11.00","11.20","11.30","10.80","50.41M","-1.79%"
"11/17/2021","11.20","11.30","11.40","11.10","32.41M","-1.75%"
"11/16/2021","11.40","11.50","11.50","11.20","63.46M","-1.72%"
"11/15/2021","11.60","11.30","11.70","11.10","36.67M","0.87%"
"11/12/2021","11.50","11.80","11.90","11.40","26.60M","0.00%"
"11/11/2021","11.50","11.50","11.90","11.40","46.52M","0.88%"
"11/10/2021","11.40","11.40","11.70","11.30","27.57M","0.00%"
"11/09/2021","11.40","11.80","12.50","11.10","215.18M","-0.87%"
"11/08/2021","11.50","10.90","11.50","10.60","77.25M","7.48%"
